University of Missouri,UMC,missouri.edu
"University of Maryland, College Park",UMD,umd.edu
University of Massachusetts Dartmouth,UMD,umassd.edu
University of Michigan–Dearborn,UMD,umdearborn.edu
University of Minnesota Duluth,UMD,d.umn.edu
University of Missouri–Kansas City,UMKC,umkc.edu
University of Massachusetts Lowell,UML,uml.edu
University of Maine at Orono,UMO,"umaine.edu
"
University of Mary Washington,UMW,umw.edu
University of North Alabama,UNA,una.edu
University of North Carolina at Chapel Hill,UNC,unc.edu
University of Northern Colorado,UNC,unco.edu
University of North Carolina at Charlotte,UNCC,uncc.edu
University of North Carolina at Greensboro,UNCG,uncg.edu
University of North Carolina at Wilmington,UNCW,uncw.edu
University of North Dakota,UND,und.edu
University of North Florida,UNF,unf.edu
University of New Hampshire,UNH,unh.edu
University of New Haven,UNH,newhaven.edu
University of Northern Iowa,UNI,uni.edu
University of Nebraska at Kearney,UNK,unk.edu
University of Nebraska–Lincoln,UNL,unl.edu
"University of Nevada, Las Vegas",UNLV,unlv.edu
University of New Mexico,UNM,unm.edu
University of Nebraska at Omaha,UNO,unomaha.edu
University of New Orleans,UNO,uno.edu
"University of Nevada, Reno",UNR,unr.edu
University of North Texas,UNT,unt.edu
University of Oregon,UO,uoregon.edu
University of the Pacific (United States),UOP,pacific.edu
University of Portland,UP,up.edu
University of Pennsylvania,UPenn,upenn.edu
University of Pennsylvania,UPenn,upenn.edu
University of Pikeville,UPIKE,upike.edu
University of Richmond,UR,U of R,richmond.edu
University of Rochester,UR,U of R,rochester.edu
University of Rhode Island,URI,uri.edu
University of Scranton,U of S,scranton.edu
University of South Alabama,USA,southalabama.edu
United States Air Force Academy,USAFA,usafa.af.mil
University of Science and Arts of Oklahoma,USAO,usao.edu
University of Southern California,USC,usc.edu
University of South Carolina,USC,sc.edu
University of South Carolina Aiken,USCA,usca.edu
University of San Diego,USD,sandiego.edu
University of South Dakota,USD,usd.edu
University of San Francisco,USF,usfca.edu
University of South Florida,USF,usf.edu
University of San Francisco,USFCA,usfca.edu
University of Southern Indiana,USI,usi.edu
University of Southern Maine,USM,usm.maine.edu
The University of Southern Mississippi,USM,usm.edu
Utah State University,USU,usu.edu
University of Tampa,UT,ut.edu
University of Tennessee,UT,utk.edu
University of Texas at Austin,UT,utexas.edu
University of Toledo,UT,utoledo.edu
University of Texas at Arlington,UTA,uta.edu
University of Utah,Utah,utah.edu
University of Texas at Brownsville and Texas Southmost College,UTB/TSC,utb.edu
University of Tennessee at Chattanooga,UTC,utc.edu
University of Texas at Dallas,UTD,utdallas.edu
University of Texas at El Paso,UTEP,utep.edu
University of Tennessee at Martin,UTM,utm.edu
University of Texas of the Permian Basin,UTPB,utpb.edu
University of Texas Rio Grande Valley,UTRGV,utrgv.edu
University of Texas at San Antonio,UTSA,utsa.edu
University of Virginia,UVA,virginia.edu
University of Vermont,UVM,uvm.edu
Utah Valley University,UVU,uvu.edu
University of Washington,UW,washington.edu
University of Wisconsin,UW,wisconsin.edu
University of Wisconsin–Madison,UW,wisc.edu
University of Wyoming,UW,uwyo.edu
University of West Florida,UWF,uwf.edu
University of West Georgia,UWG,westga.edu
University of Wisconsin–Green Bay,UWGB,uwgb.edu
University of Wisconsin–Milwaukee,UWM,uwm.edu
Valparaiso University,Valpo,valpo.edu
Vanderbilt University,Vandy,vanderbilt.edu
Virginia Commonwealth University,VCU,vcu.edu
Virginia Polytechnic Institute and State University,Virginia Tech,vt.edu
Virginia Military Institute,VMI,vmi.edu
Virginia Polytechnic Institute and State University,VPI,vt.edu
Valdosta State University,VSU,valdosta.edu
Virginia State University,VSU,vsu.edu
Virginia Polytechnic Institute and State University,VT,vt.edu
Vermont Technical College,VTC,vtc.edu
Valparaiso University,VU,valpo.edu
Vanderbilt University,VU,vanderbilt.edu
Villanova University,VU,villanova.edu
Vincennes University,VU,vinu.edu
Vanguard University,VU,vanguard.edu
Washington & Jefferson College,W&J,washjeff.edu
Washington and Lee University,W&L,wlu.edu
The College of William & Mary,W&M,wm.edu
Washington University in St. Louis,Wash U,WUSTL,wustl.edu
Washington State University,Wazzu,wsu.edu
Wagner College,WC,wagner.edu
"Western Carolina University, West Chester University (page does not exist)",WCU
United States Military Academy,West Point,westpoint.edu
Western Washington University,Western,wwu.edu
Wake Forest University,WFU,wfu.edu
Williams College,Williams,williams.edu
Western Illinois University,WIU,wiu.edu
Western Kentucky University,WKU,wku.edu
Western Michigan University,WMU,wmich.edu
Worcester Polytechnic Institute,WPI,wpi.edu
Washington State University,WSU,wsu.edu
Wichita State University,WSU,wichita.edu
Wright State University,WSU,wright.edu
Winston-Salem State University,WSSU - Winston-Salem State University,wssu.edu
West Texas A&M University,WTAMU,wtamu.edu
West Virginia University,WVU,wvu.edu
West Virginia University at Parkersburg,WVUP,wvup.edu
Western Washington University,WWU,wwu.edu
Xavier University,XU,xavier.edu
Xavier University of Louisiana,XULA,xula.edu
Brigham Young University,The Y,byu.edu
Youngstown State University,YSU,ysu.edu
Yeshiva University,YU,yu.edu
