Hunter College,Hawks,Manhattan,hunter.cuny.edu
Huntington University (United States),Foresters,Huntington,huntington.edu
University of Idaho,Vandals,Moscow,uidaho.edu
Idaho State University,Bengals,Pocatello,isu.edu
College of Idaho,Coyotes,Yotes,Caldwell,collegeofidaho.edu alumni.collegeofidaho.edu
Illinois Institute of Technology,Scarlet Hawks,Chicago,web.iit.edu
University of Illinois,Fighting Illini,Urbana,Champaign,illinois.edu
University of Illinois at Chicago,Flames,Chicago,uic.edu
University of Illinois at Springfield,Prairie Stars,Springfield,uis.edu
Illinois College,Blueboys,Lady Blues,Jacksonville,ic.edu
Illinois State University,Redbirds,Normal,illinoisstate.edu
Illinois Wesleyan University,Titans,Bloomington,iwu.edu
Incarnate Word,Cardinals,San Antonio,Alamo Heights,uiw.edu
Indian River State College,Fort Pierce,irsc.edu
Indiana University,Bloomington,iu.edu
Indiana State University,Terre Haute,indstate.edu
University of Indianapolis,Greyhounds,Indianapolis,uindy.edu
Indiana University-Purdue University Fort Wayne,Mastodons,Fort Wayne
Indiana University-Purdue University Indianapolis,Jaguars,Indianapolis,iupui.edu
Indiana University of Pennsylvania,Crimson Hawks,Indiana,iup.edu
Indiana University Southeast,Grenadiers,New Albany,ius.edu
Indiana Wesleyan University,Wildcats,Marion,indwes.edu
Iona College (New York),Gaels,New Rochelle,iona.edu
University of Iowa,Hawkeyes,Iowa City,uiowa.edu
Iowa State University,Cyclones,Ames,iastate.edu
Iowa Wesleyan College,Tigers,Mount Pleasant,iw.edu
Ithaca College,Bombers,Ithaca,ithaca.edu
Jackson State University,Tigers,Jackson,jsums.edu
Jacksonville University,Dolphins,Jacksonville,ju.edu
Jacksonville State University,Gamecocks,Jacksonville,jsu.edu
James Madison University,Dukes,Harrisonburg,jmu.edu
Jamestown College,Jimmies,Jamestown,uj.edu
John Brown University,Golden Eagles,Siloam Springs,jbu.edu
John Carroll University,Blue Streaks,University Heights,jcu.edu
Johns Hopkins University,Blue Jays,Baltimore,jhu.edu
John Jay College,Bloodhounds,New York,jjay.cuny.edu
Johnson & Wales University,Wildcats,Providence,jwu.edu
Johnson C. Smith University,Golden Bulls,Charlotte,jcsu.edu
Judson University,Elgin,judsonu.edu
Johnson University Florida,Kissimmee,johnsonu.edufl
Kalamazoo College,Hornets,Kalamazoo,kzoo.edu
University of Kansas,Jayhawks,Lawrence,ku.edu
Kansas State University,Wildcats,Manhattan,k-state.edu
Kansas Wesleyan University,Coyotes,Salina,kwu.edu
Kean University,KU,Union,Kean.edu
Keene State College,Keene,keene.edu
